Date,Watch time (hours)
2018-09-05,0.0168
2018-09-06,0.0165
2018-09-07,0.1261
2018-09-08,0.1203
2018-09-09,0.0009
2018-09-10,0.0398
2018-09-11,0.0246
2018-09-12,0.0158
2018-09-13,0.0256
2018-09-14,0.0583
2018-09-15,0.0282
2018-09-16,0.1349
2018-09-17,0.0765
2018-09-18,0.0236
2018-09-19,0.0163
2018-09-20,0.0115
2018-09-21,0.0112
2018-09-22,0.0526
2018-09-23,0.0587
2018-09-24,0.0301
2018-09-25,0.346
2018-09-26,0.0775
2018-09-27,0
2018-09-28,0.0089
2018-09-29,0.1457
2018-09-30,0.1748
2018-10-01,0.0006
2018-10-02,0.0805
2018-10-03,0.0722
2018-10-04,0.0117
2018-10-05,0.2848
2018-10-06,0.2179
2018-10-07,0.0544
2018-10-08,0.0503
2018-10-09,0.0521
2018-10-10,0.0414
2018-10-11,0.0072
2018-10-12,0.0159
2018-10-13,0.0651
2018-10-14,0.2584
2018-10-15,0.0713
2018-10-16,0.036
2018-10-17,0.0126
2018-10-18,0.0256
2018-10-19,0.0076
2018-10-20,0.0302
2018-10-21,0.053
2018-10-22,0.0044
2018-10-23,0.0097
2018-10-24,0.0602
2018-10-25,0.0225
2018-10-26,0.0407
2018-10-27,0.1066
2018-10-28,0.4948
2018-10-29,0.09
2018-10-30,0.0702
2018-10-31,0.0179
2018-11-01,0.009
2018-11-02,0.0817
2018-11-03,0.1281
2018-11-04,0.0638
2018-11-05,0.0237
2018-11-06,0.2479
2018-11-07,0.122
2018-11-08,0.199
2018-11-09,0.2424
2018-11-10,0.0534
2018-11-11,0.0104
2018-11-12,0.0334
2018-11-13,0.0036
2018-11-14,0.0355
2018-11-15,0.0463
2018-11-16,0.0133
2018-11-17,0.188
2018-11-18,0.1296
2018-11-19,0.0036
2018-11-20,0.0196
2018-11-21,0.0674
2018-11-22,0.0171
2018-11-23,0.0295
2018-11-24,0.0238
2018-11-25,0.0107
2018-11-26,0.024
2018-11-27,0.0044
2018-11-28,0
2018-11-29,0.0027
2018-11-30,0.0686
2018-12-01,0.0449
2018-12-02,0.0392
2018-12-03,0.0091
2018-12-04,0.0209
2018-12-05,0.1573
2018-12-06,0.0118
2018-12-07,0
2018-12-08,0.0341
2018-12-09,0.377
2018-12-10,0.0716
2018-12-11,0.0547
2018-12-12,0.0316
2018-12-13,0.0036
2018-12-14,0.0396
2018-12-15,0.2009
2018-12-16,0.0927
2018-12-17,0.1361
2018-12-18,0.0268
2018-12-19,0.0233
2018-12-20,0.5045
2018-12-21,0.2128
2018-12-22,0.0255
2018-12-23,0.0771
2018-12-24,0.1848
2018-12-25,0.1282
2018-12-26,0.0398
2018-12-27,0.0875
2018-12-28,0.034
2018-12-29,0.0042
2018-12-30,0.1297
2018-12-31,0.0373
2019-01-01,0.6246
2019-01-02,0.9172
2019-01-03,0.1076
2019-01-04,0.3955
